T1	Mention 10 11	i
T2	Mention 16 19	six
T3	Mention 16 29	six years old
T4	Mention 30 31	i
T5	Mention 50 57	picture
T6	Mention 63 67	book
T7	Mention 78 93	primeval forest
T8	Mention 106 110	life
T9	Mention 101 118	real life stories
T10	Mention 119 121	it
T11	Mention 131 146	boa constrictor
T12	Mention 160 171	wild animal
T13	Mention 182 201	copy of the drawing
T14	Mention 217 221	book
T15	Mention 222 238	boa constrictors
T16	Mention 247 252	their
T17	Mention 253 257	prey
T18	Mention 285 289	they
T19	Mention 315 319	they
T20	Mention 334 337	six
T21	Mention 334 344	six months
T22	Mention 358 367	digestion
T23	Mention 371 372	i
T24	Mention 397 421	adventures of the jungle
T25	Mention 434 435	i
T26	Mention 451 465	colored pencil
T27	Mention 474 476	my
T28	Mention 477 490	first drawing
T29	Mention 491 493	my
T30	Mention 494 512	drawing number one
T31	Mention 509 512	one
T32	Mention 513 515	it
T33	Mention 528 532	this
T34	Mention 533 534	i
T35	Mention 542 544	my
T36	Mention 545 556	masterpiece
T37	Mention 564 572	grownups
T38	Mention 577 578	i
T39	Mention 585 589	them
T40	Mention 593 595	my
T41	Mention 596 603	drawing
T42	Mention 615 619	them
T43	Mention 620 624	they
T44	Mention 634 636	me
T45	Mention 673 676	hat
T46	Mention 677 679	my
T47	Mention 680 687	drawing
T48	Mention 701 704	hat
T49	Mention 705 707	it
T50	Mention 717 732	boa constrictor
T51	Mention 746 754	elephant
T52	Mention 755 756	i
T53	Mention 771 800	inside of the boa constrictor
T54	Mention 785 800	boa constrictor
T55	Mention 813 821	grownups
T56	Mention 839 843	they
T57	Mention 864 870	things
T58	Mention 881 883	my
T59	Mention 884 902	drawing number two
T60	Mention 899 902	two
T61	Mention 915 919	this
T62	Mention 924 932	grownups
T63	Mention 941 943	me
T64	Mention 959 967	drawings
T65	Mention 971 987	boa constrictors
T66	Mention 1016 1022	myself
T67	Mention 1034 1043	geography
T68	Mention 1044 1051	history
T69	Mention 1052 1062	arithmetic
T70	Mention 1067 1074	grammar
T71	Mention 1080 1081	i
T72	Mention 1099 1109	age of six
T73	Mention 1106 1109	six
T74	Mention 1124 1130	career
T75	Mention 1136 1143	painter
T76	Mention 1144 1145	i
T77	Mention 1169 1176	failure
T78	Mention 1180 1182	my
T79	Mention 1198 1201	one
T80	Mention 1183 1201	drawing number one
T81	Mention 1209 1211	my
T82	Mention 1227 1230	two
T83	Mention 1212 1230	drawing number two
T84	Mention 1231 1239	grownups
T85	Mention 1257 1265	anything
T86	Mention 1269 1279	themselves
T87	Mention 1303 1311	children
T88	Mention 1330 1336	things
T89	Mention 1341 1345	them
T90	Mention 1365 1366	i
T91	Mention 1389 1399	profession
T92	Mention 1404 1405	i
T93	Mention 1421 1430	airplanes
T94	Mention 1431 1432	i
T95	Mention 1455 1461	places
T96	Mention 1473 1478	world
T97	Mention 1483 1492	geography
T98	Mention 1515 1517	me
T99	Mention 1523 1524	i
T100	Mention 1550 1556	glance
T101	Mention 1557 1562	china
T102	Mention 1568 1575	arizona
T103	Mention 1597 1600	you
T104	Mention 1613 1618	night
T105	Mention 1619 1620	i
T106	Mention 1637 1639	my
T107	Mention 1640 1644	life
T108	Mention 1654 1661	contact
T109	Mention 1683 1694	consequence
T110	Mention 1672 1694	persons of consequence
T111	Mention 1695 1696	i
T112	Mention 1726 1734	grownups
T113	Mention 1735 1736	i
T114	Mention 1747 1751	them
T115	Mention 1735 1765	i have seen them from close up
T116	Mention 1766 1768	it
T117	Mention 1791 1793	my
T118	Mention 1794 1801	opinion
T119	Mention 1805 1809	them
T120	Mention 1819 1820	i
T121	Mention 1825 1828	one
T122	Mention 1832 1836	them
T123	Mention 1874 1875	i
T124	Mention 1908 1912	them
T125	Mention 1913 1915	my
T126	Mention 1916 1934	drawing number one
T127	Mention 1931 1934	one
T128	Mention 1940 1941	i
T129	Mention 1959 1960	i
T130	Mention 1979 1983	they
T131	Mention 1998 2004	person
T132	Mention 1998 2026	person of true understanding
T133	Mention 2031 2035	they
T134	Mention 2053 2055	it
T135	Mention 2061 2064	hat
T136	Mention 2068 2069	i
T137	Mention 2091 2095	them
T138	Mention 2099 2115	boa constrictors
T139	Mention 2123 2139	primeval forests
T140	Mention 2151 2156	stars
T141	Mention 2157 2158	i
T142	Mention 2163 2169	myself
T143	Mention 2173 2178	their
T144	Mention 2179 2184	level
T145	Mention 2185 2186	i
T146	Mention 2197 2201	them
T147	Mention 2208 2214	bridge
T148	Mention 2215 2219	golf
T149	Mention 2220 2228	politics
T150	Mention 2233 2241	neckties
T151	Mention 2246 2257	the grownup
T152	Mention 2282 2294	sensible man
T153	Mention 2298 2299	i
T154	Mention 2327 2328	i
T155	Mention 2358 2367	breakdown
T156	Mention 2375 2388	sahara desert
T157	Mention 2389 2392	six
T158	Mention 2389 2398	six years
T159	Mention 2403 2412	something
T160	Mention 2427 2429	my
T161	Mention 2430 2436	engine
T162	Mention 2444 2445	i
T163	Mention 2455 2457	me
T164	Mention 2468 2476	mechanic
T165	Mention 2485 2495	passengers
T166	Mention 2496 2497	i
T167	Mention 2506 2512	myself
T168	Mention 2558 2565	repairs
T169	Mention 2403 2565	something had broken in my engine and as i had with me neither a mechanic nor any passengers i readied myself to try and carry out all alone the difficult repairs
T170	Mention 2570 2572	me
T171	Mention 2573 2575	it
T172	Mention 2592 2596	life
T173	Mention 2582 2605	matter of life or death
T174	Mention 2600 2605	death
T175	Mention 2606 2607	i
T176	Mention 2626 2631	water
T177	Mention 2647 2651	week
T178	Mention 2662 2667	night
T179	Mention 2668 2669	i
T180	Mention 2691 2695	sand
T181	Mention 2696 2706	a thousand
T182	Mention 2696 2712	a thousand miles
T183	Mention 2722 2738	human habitation
T184	Mention 2739 2740	i
T185	Mention 2778 2784	sailor
T186	Mention 2790 2794	raft
T187	Mention 2816 2821	ocean
T188	Mention 2825 2828	you
T189	Mention 2841 2843	my
T190	Mention 2861 2869	daybreak
T191	Mention 2885 2890	voice
T192	Mention 2902 2904	it
T193	Mention 2922 2924	me
T194	Mention 2927 2932	sheep
T195	Mention 2917 2932	draw me a sheep
T196	Mention 2943 2945	me
T197	Mention 2948 2953	sheep
T198	Mention 2938 2953	draw me a sheep
T199	Mention 2954 2955	i
T200	Mention 2966 2968	my
T201	Mention 2969 2973	feet
T202	Mention 2980 2981	i
T203	Mention 3001 3010	lightning
T204	Mention 3011 3012	i
T205	Mention 3020 3022	my
T206	Mention 3023 3027	eyes
T207	Mention 3028 3029	i
T208	Mention 3042 3046	look
T209	Mention 3054 3056	me
T210	Mention 3061 3062	i
T211	Mention 3089 3099	little man
T212	Mention 3118 3120	me
T213	Mention 3148 3156	portrait
T214	Mention 3168 3169	i
T215	Mention 3187 3190	him
T216	Mention 3195 3197	my
T217	Mention 3198 3205	drawing
T218	Mention 3247 3252	model
T219	Mention 3195 3252	my drawing of course is much less charming than its model
T220	Mention 3253 3255	it
